metric,pool_avg,pool_n,Premier League_avg,La Liga_avg,Serie A_avg,Bundesliga_avg,Ligue 1_avg,Premier League_n,La Liga_n,Serie A_n,Bundesliga_n,Ligue 1_n,martim_neto
pass_efficiency_index,-0.004,470,0.0466,0.0874,-0.1228,-0.1487,0.0973,90,101,105,77,97,0.47536230819550546
pass_grade_expected,7.1658,314,7.1391,7.2339,7.1861,7.1598,7.0916,67,72,64,56,55,7.99
pass_grade_general,7.1663,314,7.1336,7.1928,7.1422,7.1404,7.2262,67,72,64,56,55,7.47
pass_grade_overall,6.9004,314,6.8716,6.92,6.8786,6.8868,6.9491,67,72,64,56,55,7.24
pass_grade_relative,7.1658,314,7.1391,7.2339,7.1861,7.1598,7.0916,67,72,64,56,55,7.99
pass_grade_relative_headline,6.9013,314,6.9782,6.9939,6.8783,6.7682,6.8485,67,72,64,56,55,8.0
pass_impact_display,6.0005,470,5.987,6.0519,5.6371,5.8343,6.4848,90,101,105,77,97,7.768211920529802
pass_impact_index,-0.0,470,-0.0225,0.0197,-0.18,-0.0668,0.2481,90,101,105,77,97,0.8245127019375381
pass_mean_distance,18.1223,470,17.8847,18.3137,18.402,17.8016,18.0953,90,101,105,77,97,15.914952727826867
pass_rating,0.5961,330,0.5873,0.6027,0.5841,0.5981,0.61,71,75,68,57,59,0.5373
pass_volume_display,6.0022,470,5.959,6.1986,5.7917,5.8567,6.1813,90,101,105,77,97,5.026490066225166
pass_volume_index,0.0,470,-0.0397,0.0694,-0.0906,-0.0692,0.1175,90,101,105,77,97,-0.48770001884453507
passes_completed,729.6164,477,858.0444,721.4757,700.9259,738.8333,644.5102,90,103,108,78,98,521
passes_final_third,255.8128,470,305.9889,260.0099,244.6667,257.4675,215.6392,90,101,105,77,97,274
passes_long,82.5064,470,90.1778,84.5545,84.1048,79.5325,73.8866,90,101,105,77,97,40
passes_pct_of_position,0.2733,477,0.3193,0.2731,0.2611,0.2799,0.2395,90,103,108,78,98,0.2148
passes_short,656.617,470,767.8667,649.396,634.2476,667.6623,576.3608,90,101,105,77,97,481
passes_to_box,0.9511,477,1.0143,0.8644,0.8805,1.0861,0.9544,90,103,108,78,98,1.464
passes_total,48.7388,477,47.8785,48.981,47.0597,48.7106,51.1471,90,103,108,78,98,40.407
phi_p90,0.743,477,0.7969,0.7102,0.6768,0.7853,0.7674,90,103,108,78,98,0.533
position_max_passes,2672.0692,477,2693.4,2655.9709,2679.1667,2640.8462,2686.4286,90,103,108,78,98,2425
position_min_minutes_pct,0.3021,477,0.3013,0.3027,0.3019,0.3033,0.3016,90,103,108,78,98,0.3113
position_min_passes,373.4069,477,378.32,369.699,375.0417,366.2154,376.7143,90,103,108,78,98,316.5
position_p25_passes,381.9046,477,382.8667,379.5796,386.75,374.6205,383.9224,90,103,108,78,98,324.2
positive_dxt_pct,4.8417,477,4.8722,5.0359,4.5815,4.7449,4.9735,90,103,108,78,98,4.4
prec_coe_per_pass,-0.1541,466,0.1954,0.1432,-0.4196,-1.1525,0.2865,90,100,104,76,96,2.28
prec_grade_blend,6.8566,470,6.9257,6.9125,6.831,6.7238,6.8673,90,101,105,77,97,7.61
prec_grade_geral,6.8461,470,6.8801,6.8531,6.8017,6.7901,6.8998,90,101,105,77,97,7.19
prec_grade_pass_pool,6.9,314,6.9485,6.9688,6.8752,6.7305,6.9524,67,72,64,56,55,7.32
prec_grade_stratum,6.8799,470,6.9864,6.968,6.8951,6.6682,6.8406,90,101,105,77,97,8.02
prec_grade_stratum_pool,6.9,314,6.9858,7.051,6.9064,6.7139,6.7798,67,72,64,56,55,7.9
prec_stratum_gap,0.0337,470,0.1063,0.115,0.0934,-0.1219,-0.0592,90,101,105,77,97,0.83
prec_stratum_gap_pool_mean,0.001,470,0.001,0.001,0.001,0.001,0.001,90,101,105,77,97,0.001
prec_stratum_gap_pool_p70,0.421,470,0.421,0.421,0.421,0.421,0.421,90,101,105,77,97,0.421
prec_stratum_lift_badge,0.2,470,0.2444,0.2475,0.2476,0.0779,0.1546,90,101,105,77,97,True
prec_z_coe_blend,-0.0,470,0.1163,0.1019,-0.0634,-0.3232,0.1112,90,101,105,77,97,0.8705
prec_z_coe_stratum,-0.0386,470,0.1302,0.0734,-0.0223,-0.3554,-0.0781,90,101,105,77,97,1.4593
prod_grade_blend,6.8465,470,6.8708,6.8757,6.8033,6.8343,6.8498,90,101,105,77,97,7.08
prod_grade_geral,6.8324,470,6.8614,6.8799,6.789,6.8114,6.8197,90,101,105,77,97,6.69
prod_grade_pass_pool,6.9,314,6.8782,6.9036,6.8386,6.8509,7.0433,67,72,64,56,55,6.75
prod_grade_rel,6.8781,470,6.8888,6.871,6.8489,6.8796,6.9062,90,101,105,77,97,7.46
prod_grade_rel_pool,6.9,314,6.9043,6.8922,6.8784,6.9077,6.9222,67,72,64,56,55,7.39
prod_ratio_r_d,0.1475,470,0.1433,0.188,0.1163,0.1113,0.1719,90,101,105,77,97,0.0917
prod_rel_gap,0.0457,470,0.0273,-0.0089,0.0599,0.0682,0.0865,90,101,105,77,97,0.77
prod_rel_gap_pool_mean,0.001,470,0.001,0.001,0.001,0.001,0.001,90,101,105,77,97,0.001
prod_rel_gap_pool_p70,0.471,470,0.471,0.471,0.471,0.471,0.471,90,101,105,77,97,0.471
prod_rel_lift_badge,0.2,470,0.2556,0.198,0.1333,0.2338,0.1959,90,101,105,77,97,True
prod_rel_xpv,-0.0,314,-0.0,0.0,0.0,-0.0001,-0.0001,67,72,64,56,55,0.696
prod_xpv_expected,14.6463,314,14.1036,14.3906,14.2955,14.6835,16.0123,67,72,64,56,55,11.618
prod_xpv_per_game,14.6463,314,14.1035,14.3906,14.2955,14.6834,16.0124,67,72,64,56,55,12.314
prod_z_geral,0.0,470,-0.0211,0.0349,-0.0918,-0.0423,0.1162,90,101,105,77,97,-0.2115
prod_z_rel,0.0,470,0.0148,0.1449,-0.1006,-0.1258,0.0442,90,101,105,77,97,-0.1812
progressive_passes,4.2406,477,4.1514,4.2579,4.1085,4.3112,4.3938,90,103,108,78,98,3.528
progressive_passes_p90,4.1774,477,4.1514,4.1257,4.0004,4.2819,4.3677,90,103,108,78,98,3.528
pv_abs_buildup_display,6.9045,314,6.839,6.9135,6.8559,6.9479,6.9847,67,72,64,56,55,7.11
pv_abs_buildup_index,-0.0,314,-0.0904,0.0151,-0.0298,0.0114,0.1135,67,72,64,56,55,0.184
pv_abs_chance_display,6.9011,314,6.8603,6.8122,6.8927,6.9643,7.0124,67,72,64,56,55,7.63
pv_abs_chance_index,0.0,314,-0.0645,-0.1076,-0.0102,0.0746,0.1554,67,72,64,56,55,1.1312
pv_abs_leth_index,0.0,314,-0.1533,0.2,0.0488,0.0235,-0.1558,67,72,64,56,55,0.5307
pv_abs_volume_display,6.9103,314,6.8636,6.9044,6.852,6.8568,7.0971,67,72,64,56,55,6.25
pv_abs_volume_index,-0.0,314,-0.0732,-0.0411,-0.0438,-0.0921,0.2877,67,72,64,56,55,-0.9172
